,N_birds,p_call,num_nocall_clips,pos_mu,pos_sd,neg_mu,neg_sd
0,6,0.1,375,5,2,-1,1
1,5,0.1,453,5,2,-1,1
2,7,0.1,335,5,2,-1,1
3,8,0.1,302,5,2,-1,1
4,2,0.1,600,5,2,-1,1
5,6,0.1,369,5,2,-1,1
6,6,0.1,394,5,2,-1,1
7,2,0.1,597,5,2,-1,1
8,8,0.1,319,5,2,-1,1
9,5,0.1,420,5,2,-1,1
10,4,0.1,453,5,2,-1,1
11,6,0.1,404,5,2,-1,1
12,4,0.1,469,5,2,-1,1
13,4,0.1,465,5,2,-1,1
14,3,0.1,522,5,2,-1,1
15,4,0.1,484,5,2,-1,1
16,5,0.1,437,5,2,-1,1
17,8,0.1,311,5,2,-1,1
18,6,0.1,373,5,2,-1,1
19,3,0.1,525,5,2,-1,1
20,4,0.1,469,5,2,-1,1
21,5,0.1,440,5,2,-1,1
22,2,0.1,589,5,2,-1,1
23,3,0.1,531,5,2,-1,1
24,3,0.1,524,5,2,-1,1
25,11,0.1,231,5,2,-1,1
26,4,0.1,483,5,2,-1,1
27,5,0.1,427,5,2,-1,1
28,6,0.1,398,5,2,-1,1
29,1,0.1,654,5,2,-1,1
30,1,0.1,657,5,2,-1,1
31,4,0.1,465,5,2,-1,1
32,11,0.1,220,5,2,-1,1
33,9,0.1,284,5,2,-1,1
34,5,0.1,395,5,2,-1,1
35,3,0.1,530,5,2,-1,1
36,8,0.1,314,5,2,-1,1
37,3,0.1,511,5,2,-1,1
38,6,0.1,384,5,2,-1,1
39,6,0.1,388,5,2,-1,1
40,1,0.1,645,5,2,-1,1
41,3,0.1,532,5,2,-1,1
42,8,0.1,296,5,2,-1,1
43,7,0.1,353,5,2,-1,1
44,7,0.1,336,5,2,-1,1
45,4,0.1,482,5,2,-1,1
46,8,0.1,320,5,2,-1,1
47,9,0.1,290,5,2,-1,1
48,2,0.1,592,5,2,-1,1
49,3,0.1,517,5,2,-1,1
50,5,0.1,425,5,2,-1,1
51,1,0.1,651,5,2,-1,1
52,1,0.1,649,5,2,-1,1
53,3,0.1,530,5,2,-1,1
54,4,0.1,458,5,2,-1,1
55,7,0.1,366,5,2,-1,1
56,3,0.1,509,5,2,-1,1
57,4,0.1,475,5,2,-1,1
58,5,0.1,427,5,2,-1,1
59,3,0.1,532,5,2,-1,1
60,2,0.1,579,5,2,-1,1
61,5,0.1,407,5,2,-1,1
62,5,0.1,441,5,2,-1,1
63,2,0.1,584,5,2,-1,1
64,4,0.1,484,5,2,-1,1
65,3,0.1,509,5,2,-1,1
66,7,0.1,344,5,2,-1,1
67,3,0.1,506,5,2,-1,1
68,5,0.1,420,5,2,-1,1
69,4,0.1,474,5,2,-1,1
70,3,0.1,501,5,2,-1,1
71,5,0.1,429,5,2,-1,1
72,1,0.1,647,5,2,-1,1
73,7,0.1,377,5,2,-1,1
74,5,0.1,448,5,2,-1,1
75,4,0.1,475,5,2,-1,1
76,4,0.1,486,5,2,-1,1
77,4,0.1,490,5,2,-1,1
78,7,0.1,332,5,2,-1,1
79,2,0.1,580,5,2,-1,1
80,3,0.1,526,5,2,-1,1
81,2,0.1,592,5,2,-1,1
82,6,0.1,369,5,2,-1,1
83,10,0.1,248,5,2,-1,1
84,2,0.1,588,5,2,-1,1
85,5,0.1,417,5,2,-1,1
86,7,0.1,342,5,2,-1,1
87,5,0.1,435,5,2,-1,1
88,4,0.1,484,5,2,-1,1
89,4,0.1,446,5,2,-1,1
90,3,0.1,538,5,2,-1,1
91,7,0.1,353,5,2,-1,1
92,4,0.1,473,5,2,-1,1
93,3,0.1,508,5,2,-1,1
94,9,0.1,291,5,2,-1,1
95,5,0.1,439,5,2,-1,1
96,5,0.1,443,5,2,-1,1
97,4,0.1,470,5,2,-1,1
98,8,0.1,313,5,2,-1,1
99,6,0.1,370,5,2,-1,1
